citation_key,paper,title,authors,year,venue,identifier,file
cheng2023rest,ReST,ReST: A Reconfigurable Spatial-Temporal Graph Model for Multi-Camera Multi-Object Tracking,Cheng-Che Cheng; Min-Xuan Qiu; Chen-Kuo Chiang; Shang-Hong Lai,2023,ICCV 2023,arXiv:2308.13229,papers/ReST - A Reconfigurable Spatial-Temporal Graph Model for Multi-Camera Multi-Object Tracking.pdf
wang2025mcblt,MCBLT,MCBLT: Multi-Camera Multi-Object 3D Tracking in Long Videos,Yizhou Wang; Tim Meinhardt; Orcun Cetintas; Cheng-Yen Yang; Sameer S. Pusegaonkar; Benjamin Missaoui; Sujit Biswas; Zheng Tang; Laura Leal-Taixé,2025,arXiv,arXiv:2412.00692,papers/MCBLT - Multi-Camera Multi-Object 3D Tracking in Long Videos.pdf
engilberge2025onegraph,UMPN / One Graph,One Graph to Track Them All: Dynamic GNNs for Single- and Multi-View Tracking,Martin Engilberge; Ivan Vrkic; Friedrich Wilke Grosche; Julien Pilet; Engin Türetken; Pascal Fua,2025,arXiv,arXiv:2507.08494,papers/One Graph to Track Them All - Dynamic GNNs for Single and Multi-View Tracking.pdf
somers2025cameltrack,CAMELTrack,CAMELTrack: Context-Aware Multi-cue ExpLoitation for Online Multi-Object Tracking,Vladimir Somers; Baptiste Standaert; Victor Joos; Alexandre Alahi; Christophe De Vleeschouwer,2025,arXiv,arXiv:2505.01257,papers/CAMELTrack - Context-Aware Multi-cue ExpLoitation for Online Multi-Object Tracking.pdf
gao2024motip,MOTIP,Multiple Object Tracking as ID Prediction,Ruopeng Gao; Ji Qi; Limin Wang,2024,CVPR 2024,,papers/Multiple Object Tracking as ID Prediction.pdf
